Pressure(hPa),Temp(C),Humidity(%),Light,LPG,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z
100.80,35.00,75.30,129,1.02,0.06,0.00,0.95,-12.82,-11.96,-26.25,64.7,20.4,-24.8
100.79,30.00,75.80,156,1.12,0.06,0.01,0.96,0.55,0.55,1.28,64.7,19.5,-26.0
100.80,35.00,76.90,151,1.11,0.06,0.01,0.96,0.49,0.49,0.98,64.4,19.9,-24.2
100.80,32.40,75.50,193,1.08,0.06,0.01,0.96,0.31,0.49,1.16,64.3,20.1,-25.7
100.80,32.40,73.60,132,0.89,0.06,0.01,0.96,0.37,0.61,1.16,64.1,20.4,-27.2
100.80,32.80,73.70,168,0.92,0.06,0.01,0.96,0.43,0.73,1.10,64.1,20.7,-25.2
100.80,32.80,75.30,192,1.09,0.06,0.01,0.96,0.67,0.37,0.92,65.0,20.0,-24.6
100.80,32.40,73.90,127,1.11,0.28,0.06,0.98,-56.64,94.12,7.20,71.9,22.4,-5.3
100.81,34.60,75.40,120,1.15,0.59,-0.31,1.03,-6.10,-42.36,4.64,56.7,23.4,13.5
100.80,32.30,76.00,184,1.02,0.56,-0.07,0.67,28.14,44.86,32.59,58.1,15.4,14.8
100.80,34.50,75.10,136,1.10,0.43,-0.17,0.65,-60.06,-70.86,-20.02,58.4,18.1,22.3
100.80,31.00,76.10,197,0.89,0.74,-0.13,0.36,-6.59,35.71,-12.39,56.9,11.7,20.5
100.80,32.80,74.10,144,1.10,0.33,-0.24,0.51,-74.34,12.27,28.87,60.3,33.4,6.6
100.81,32.70,75.50,130,1.09,0.38,-0.01,0.78,164.98,28.63,-42.48,61.8,24.3,3.7
100.80,32.10,73.60,134,1.03,0.55,0.02,0.86,103.39,14.59,-25.02,59.8,10.6,12.8
100.81,32.10,73.00,120,1.09,0.61,0.27,0.73,21.91,-16.05,5.55,63.9,16.3,9.1
100.80,30.40,74.20,113,0.92,0.63,-0.29,0.53,21.30,-38.27,-41.20,54.5,25.5,24.3
100.80,31.00,75.90,105,1.19,1.02,-0.52,0.46,1.16,-31.92,8.42,49.1,25.6,24.3
100.80,33.60,73.90,119,0.87,0.73,-0.15,0.71,7.75,38.45,43.03,49.5,26.5,23.7
100.80,35.00,75.40,149,1.16,0.10,0.02,0.95,0.37,0.18,1.22,65.0,11.1,-24.0
100.80,32.90,75.40,145,0.93,0.10,0.02,0.96,0.49,0.67,1.22,65.3,11.1,-23.9
100.80,30.70,75.60,154,1.09,0.10,0.02,0.95,0.31,0.49,1.22,66.1,10.8,-26.6
100.79,34.00,75.50,138,1.03,0.10,0.02,0.96,0.37,0.31,1.16,65.2,10.2,-26.7
100.80,30.70,74.00,137,0.90,0.10,0.02,0.96,0.31,0.49,1.34,65.3,11.0,-24.9
100.80,31.90,74.60,111,0.83,0.10,0.02,0.96,0.49,0.49,1.28,64.7,10.7,-24.0
100.80,32.10,73.20,168,1.06,0.10,0.02,0.96,0.31,0.49,1.16,65.1,11.0,-25.5
100.80,30.40,73.10,180,1.10,0.10,0.02,0.95,0.67,0.12,1.22,65.2,11.2,-25.3
100.80,34.00,74.10,114,0.91,0.10,0.02,0.96,0.31,0.67,1.22,65.0,10.8,-24.8
100.80,33.40,73.40,125,1.17,0.10,0.02,0.96,0.37,0.61,0.73,64.9,11.0,-24.2
100.81,32.40,74.10,187,0.98,0.10,0.02,0.96,0.43,0.55,1.34,65.1,10.8,-25.1
100.80,30.30,75.70,179,1.13,0.10,0.02,0.96,0.49,0.61,1.28,65.6,10.9,-24.7
100.80,31.20,76.00,113,1.10,0.12,0.01,0.97,-1.71,48.16,-0.06,65.2,11.6,-27.6
100.80,32.50,74.40,147,1.13,0.73,0.22,0.44,-35.10,-10.50,28.26,61.6,1.5,22.6
100.80,32.50,76.00,157,1.00,0.55,-0.07,0.60,56.03,-0.37,9.46,67.1,6.4,19.1
100.80,34.90,73.60,197,1.03,0.24,0.03,0.92,-0.61,3.11,2.69,66.1,6.8,-11.7
100.80,32.70,74.30,138,1.08,0.12,-0.05,0.95,0.55,0.24,1.34,62.7,7.5,-21.0
100.80,32.80,74.30,120,1.08,-0.05,0.07,1.00,-126.71,10.80,-41.56,61.7,3.4,-17.5
100.81,31.10,75.60,110,1.07,0.61,0.07,0.64,2.69,1.04,-9.40,63.0,6.6,16.5
100.80,30.40,73.70,103,1.08,0.69,0.01,0.62,-46.75,-76.11,17.03,61.5,6.0,19.9
100.80,34.40,75.00,105,1.14,0.06,0.03,0.96,0.24,0.43,1.40,57.5,2.4,-19.4
100.80,33.50,76.20,187,0.90,0.06,0.03,0.96,0.37,0.43,1.22,56.7,2.3,-19.3
100.80,33.40,74.00,110,1.05,0.06,0.03,0.96,0.31,0.31,1.46,56.4,2.2,-17.9
100.80,33.60,76.60,185,1.02,0.06,0.03,0.96,0.31,0.31,1.22,57.7,2.6,-20.4
100.81,31.50,73.70,131,0.84,0.06,0.03,0.96,0.37,0.49,1.16,57.6,3.1,-19.7
